"id","created","updated","is_deleted","approval_permissions","approval_done","next_approval","is_approved","is_approval_completed","rejection_reason","is_rejected","rejected_date","created_offline","is_reverted","approval_date","ln_id","hectare","maturity_date","repayment_value","total_loan_value","insurance","crg","interest","admin_fee","equity","value_chain_management","data_identification_verification","is_matured_processed","farmer_id","project_id","rejected_by_id","warehouse_id","created_by_id","contacted","amount_repaid","is_repaid"
27598,"2019-07-23 07:07:02.928852+00","2021-11-17 22:11:23.825827+00",False,"","","data_migration",True,True,NULL,False,NULL,"2019-07-23 07:07:02.928664+00",False,NULL,"LN-6-1563815569964",1,"2020-03-21 23:00:00+00","54055.00","56900.00","2560.50","1138.00","8535.00","569.00","11380.00","0.00","0.00",True,107466,97,NULL,132,NULL,False,"54055.00",True
83321,"2021-08-16 10:12:51.186863+00","2021-11-17 21:59:02.442809+00",False,"","",NULL,True,True,NULL,False,NULL,"2021-08-15 17:21:33.33+00",False,"2021-08-16 10:12:51.18292+00","LN-287900-1629048059775",1,"2021-11-29 23:00:00+00","78000.00","73000.00","2920.00","1460.00","10950.00","0.00","10950.00","5000.00","3000.00",True,469178,154,NULL,200,287900,False,"78000.00",True
83282,"2021-08-16 10:12:18.174306+00","2021-11-17 21:59:03.39601+00",False,"","",NULL,True,True,NULL,False,NULL,"2021-08-15 17:36:42.42+00",False,"2021-08-16 10:12:18.170129+00","LN-287900-1629048991559",1,"2021-11-29 23:00:00+00","78000.00","73000.00","2920.00","1460.00","10950.00","0.00","10950.00","5000.00","3000.00",True,439304,154,NULL,200,287900,False,"78000.00",True
13334,"2020-11-14 11:45:06.542752+00","2021-10-02 12:58:23.922262+00",False,"","","data_migration",True,True,NULL,False,NULL,"2020-11-14 11:45:06.542533+00",False,NULL,"LN-479-1605354300014",1,"2021-12-30 23:00:00+00","136000.00","136000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",True,43561,71,NULL,134,NULL,False,"0.00",False
21727,"2020-06-03 14:17:20.724292+00","2021-11-17 21:54:43.241583+00",False,"","","data_migration",True,True,NULL,False,NULL,"2020-06-03 14:17:20.724228+00",False,NULL,"LN-456-1591016799608",1,"2020-11-29 23:00:00+00","84000.00","84000.00","3360.00","1680.00","12600.00","0.00","12600.00","5000.00","0.00",True,109254,88,NULL,134,NULL,False,"84000.00",True
28707,"2019-07-15 15:30:02.352374+00","2021-11-17 21:54:43.234589+00",False,"","","data_migration",True,True,NULL,False,NULL,"2019-07-15 15:30:02.352241+00",False,NULL,"LN-7-1563204599826",1,"2020-03-14 23:00:00+00","101840.00","107200.00","4824.00","2144.00","16080.00","1072.00","21440.00","0.00","0.00",True,109254,97,NULL,134,NULL,False,"101840.00",True
18568,"2020-07-06 11:46:57.44123+00","2021-11-17 21:54:43.370159+00",False,"warehouse_manager","warehouse_manager","data_migration",True,True,NULL,False,NULL,"2020-07-06 11:46:57.441137+00",False,"2020-07-06 11:46:57.440668+00","LN-180-1591047017168",1,"2020-11-29 23:00:00+00","85000.00","85000.00","3400.00","1700.00","12750.00","0.00","12750.00","5000.00","0.00",True,100976,84,NULL,117,NULL,False,"85000.00",True
31495,"2019-06-25 16:12:52.415762+00","2021-11-17 21:54:43.363112+00",False,"","","data_migration",True,True,NULL,False,NULL,"2019-06-25 16:12:52.415637+00",False,NULL,"LN-51-1561462970899",1,"2020-02-24 23:00:00+00","54720.00","57600.00","2592.00","1152.00","8640.00","576.00","11520.00","0.00","0.00",True,100976,95,NULL,117,NULL,False,"54720.00",True
21024,"2020-06-16 09:58:02.113796+00","2021-11-17 22:08:17.232313+00",False,"warehouse_manager","warehouse_manager","data_migration",True,True,NULL,False,NULL,"2020-06-16 09:58:02.113694+00",False,"2020-06-16 09:58:02.112841+00","LN-412-1591302099988",1,"2020-11-29 23:00:00+00","45000.00","45000.00","1800.00","900.00","6750.00","0.00","6750.00","5000.00","3000.00",True,140954,83,NULL,132,NULL,False,"45000.00",True
21093,"2020-06-15 14:24:15.033642+00","2021-11-17 22:08:17.804527+00",False,"warehouse_manager","warehouse_manager","data_migration",True,True,NULL,False,NULL,"2020-06-15 14:24:15.033571+00",False,"2020-06-15 14:24:15.033152+00","LN-434-1591973969653",1,"2020-11-29 23:00:00+00","45000.00","45000.00","1800.00","900.00","6750.00","0.00","6750.00","5000.00","3000.00",True,41138,83,NULL,132,NULL,False,"45000.00",True
